sbd,toan,van,ngoaiNgu,vatLy,hoaHoc,sinhHoc,lichSu,diaLy,gdcd,province_name
1000191.0,7.0,,6.4,,7.25,,,,,Hà Nội
1000192.0,7.8,9.0,8.2,,,,7.25,8.75,8.5,Hà Nội
1000193.0,7.8,8.5,8.6,7.5,4.5,5.5,,,,Hà Nội
1000194.0,,6.25,,,,,6.25,6.0,,Hà Nội
1000195.0,8.4,9.5,9.0,,,,7.75,7.75,8.0,Hà Nội
1000196.0,7.8,8.5,7.6,,,,6.75,7.0,8.0,Hà Nội
1000197.0,8.4,8.5,8.2,,,,7.0,7.5,9.0,Hà Nội
1000198.0,8.2,9.5,8.0,,,,7.75,8.5,9.0,Hà Nội
1000199.0,5.6,6.75,,,,,5.25,6.25,,Hà Nội
1000200.0,8.0,7.0,5.6,4.0,8.25,7.25,,,,Hà Nội
1000201.0,7.6,9.0,8.4,,,,6.75,6.25,7.25,Hà Nội
1000202.0,8.8,8.75,8.6,,,,8.25,8.5,9.25,Hà Nội
1000203.0,7.8,7.5,5.0,7.75,7.5,4.75,,,,Hà Nội
1000204.0,7.6,8.5,8.8,,,,7.0,6.75,8.25,Hà Nội
1000205.0,8.2,4.25,6.8,7.5,4.5,,,,,Hà Nội
1000206.0,9.0,8.5,6.2,,,,6.75,8.0,8.5,Hà Nội
1000208.0,7.2,9.0,8.4,,,,7.25,6.25,8.0,Hà Nội
1000209.0,1.8,6.0,,,,,3.25,4.25,,Hà Nội
1000210.0,8.2,9.0,8.8,,,,8.0,7.25,7.75,Hà Nội
1000211.0,8.2,8.0,8.0,,,,7.75,5.75,7.75,Hà Nội
1000212.0,7.8,9.0,8.4,,,,7.25,8.25,8.0,Hà Nội
1000213.0,6.0,8.75,7.8,,,,7.0,7.0,8.0,Hà Nội
1000214.0,7.6,8.5,5.2,,,,7.75,8.5,9.0,Hà Nội
1000215.0,6.4,6.5,,,,,9.75,8.5,,Hà Nội
1000216.0,7.8,9.0,9.0,,,,7.5,8.75,8.0,Hà Nội
1000217.0,8.0,8.75,9.0,,,,7.75,8.25,8.5,Hà Nội
1000218.0,8.6,8.75,6.0,,,,8.5,8.75,8.75,Hà Nội
1000219.0,8.6,9.25,9.6,,,,8.5,8.0,9.0,Hà Nội
1000220.0,6.8,8.75,9.6,,,,9.0,8.25,9.25,Hà Nội
1000221.0,6.6,8.75,8.2,,,,6.75,7.75,7.0,Hà Nội
1000222.0,2.8,4.25,,,,,2.75,5.0,,Hà Nội
1000223.0,8.0,8.5,9.6,,,,9.25,9.25,9.25,Hà Nội
1000224.0,8.6,8.5,9.2,7.25,9.25,8.5,,,,Hà Nội
1000225.0,7.0,8.25,8.6,,,,6.75,6.75,7.75,Hà Nội
1000226.0,7.4,9.0,6.4,8.5,8.5,7.0,,,,Hà Nội
1000227.0,6.0,8.25,,,,,7.0,7.25,,Hà Nội
1000228.0,7.2,8.0,9.2,,,,8.25,7.25,8.0,Hà Nội
1000229.0,9.2,9.0,9.0,8.0,5.25,5.25,,,,Hà Nội
1000230.0,7.2,6.5,5.8,7.75,6.5,5.75,,,,Hà Nội
1000231.0,7.6,8.25,,,,,7.5,7.5,9.75,Hà Nội
1000232.0,8.4,9.25,9.6,,,,8.0,7.75,8.25,Hà Nội
1000233.0,7.6,8.25,8.4,,,,6.75,8.0,9.5,Hà Nội
1000234.0,8.2,7.25,6.0,7.25,6.75,6.0,,,,Hà Nội
1000235.0,7.8,9.25,8.6,,,,8.0,8.25,9.25,Hà Nội
1000236.0,7.8,9.25,9.2,,,,8.5,9.0,9.25,Hà Nội
1000237.0,4.4,8.75,,,,,6.5,7.75,,Hà Nội
1000238.0,5.6,8.0,8.4,,,,7.5,6.75,7.75,Hà Nội
1000239.0,7.8,8.75,8.0,,,,6.75,8.25,8.25,Hà Nội
1000240.0,8.8,4.25,7.2,7.75,9.0,5.0,,,,Hà Nội
1000241.0,6.8,5.75,6.2,5.0,3.75,4.0,,,,Hà Nội
1000242.0,6.8,9.25,8.0,,,,8.25,7.25,8.25,Hà Nội
1000243.0,8.8,9.25,,,,,8.0,8.5,7.75,Hà Nội
1000244.0,7.0,7.5,9.2,,,,7.75,5.5,8.25,Hà Nội
1000245.0,7.8,9.25,9.6,,,,8.5,7.75,8.25,Hà Nội
1000246.0,8.8,8.75,9.0,,,,8.75,8.75,9.0,Hà Nội
1000247.0,7.8,8.5,7.8,,,,8.0,8.0,8.25,Hà Nội
1000248.0,7.4,9.0,9.2,,,,6.75,6.75,8.25,Hà Nội
1000249.0,8.2,9.5,8.8,,,,7.5,8.25,9.5,Hà Nội
1000250.0,7.0,9.0,7.8,,,,7.5,8.25,7.5,Hà Nội
1000251.0,,9.25,5.6,,,,8.5,8.75,9.5,Hà Nội
1000252.0,8.2,9.0,8.8,7.75,4.25,5.25,,,,Hà Nội
1000253.0,8.4,8.25,8.8,,,,8.0,7.5,8.75,Hà Nội
1000254.0,8.2,8.5,9.2,,,,9.25,9.25,9.5,Hà Nội
1000255.0,6.2,9.25,7.0,,,,6.25,7.25,8.0,Hà Nội
1000256.0,8.6,9.0,8.8,,,,9.5,9.75,8.75,Hà Nội
1000257.0,3.4,7.25,,,,,3.25,5.75,,Hà Nội
1000258.0,7.0,7.75,7.6,,,,6.0,6.75,7.5,Hà Nội
1000259.0,8.2,9.0,7.6,,,,9.25,6.75,7.75,Hà Nội
1000260.0,6.8,9.5,7.6,,,,8.75,9.75,9.0,Hà Nội
1000261.0,7.6,9.25,8.8,,,,6.25,6.0,8.5,Hà Nội
1000262.0,8.0,8.5,9.4,,,,6.5,9.0,8.5,Hà Nội
1000263.0,7.8,8.5,9.0,,,,8.75,8.0,9.25,Hà Nội
1000264.0,6.0,8.25,,,,,5.75,7.0,5.75,Hà Nội
1000265.0,7.8,6.25,8.2,,,,7.25,6.5,8.75,Hà Nội
